1 -> top: 61.80%  left: 40.70%
2 -> top: 56.20%  left: 28.00%
3 -> top: 69.30%  left: 41.40%
4 -> top: 56.30%  left: 34.80%
5 -> top: 64.00%  left: 32.20%
6 -> top: 59.09%  left: 23.20%
7 -> top: 73.14%  left: 23.60%
8 -> top: 63.95%  left: 13.60%
9 -> top: 46.09%  left: 47.80%
10 -> top: 47.01%  left: 49.10%
11 -> top: 49.76%  left: 46.90%
12 -> top: 36.24%  left: 68.00%
13 -> top: 32.43%  left: 70.40%
14 -> top: 35.19%  left: 78.10%
15 -> top: 40.05%  left: 68.10%
16 -> top: 42.02%  left: 73.30%
17a -> top: 52.00%  left: 44.40%
17b -> top: 53.84%  left: 44.80%
18 -> top: 52.39%  left: 53.80%
19 -> top: 54.89%  left: 66.60%
20 -> top: 61.32%  left: 54.20%
21 -> top: 62.90%  left: 54.90%
22 -> top: 63.03%  left: 57.50%
